index,top_pairs,processed_func
72445,"[(180242, 13.455536893787864), (180245, 11.539765047812246), (178216, 11.172128677210726), (178654, 10.326177106206922), (178045, 9.669264644858018), (178476, 9.496645821254399), (180104, 8.451018900788258), (183037, 8.065533588580838), (178475, 7.6173648574942865), (178478, 7.427746433664864), (180110, 7.072226851208696), (180250, 6.747457878403883), (180257, 6.081132064550457), (179600, 5.7449548422085845), (180291, 5.65539446122665), (178150, 5.625281958336431), (180258, 5.357458364546698), (180278, 5.305636745192623), (180279, 5.280303162890495), (179602, 5.064903745059907)]","static int row_compare(zval *object1, zval *object2 TSRMLS_DC)
{
	return -1;
}
"
40025,"[(180715, 40.427423291048356), (182569, 32.87976343496428), (183174, 26.426526500439635), (183175, 25.940859937487698), (180720, 22.743482245275906), (180663, 21.833582141297235), (178854, 21.5266449016347), (180712, 21.375877738683545), (179901, 19.43011977159909), (179440, 19.185918964818985), (179441, 18.791700329437628), (180789, 18.283722440004293), (180790, 17.802340130488243), (179596, 17.199039283058077), (179575, 17.165576824361068), (179578, 16.756813442493797), (181632, 16.694094041298392), (179934, 16.447110281593734), (179786, 16.11194988539796), (179857, 15.962820835061914)]","ssize_t cifs_user_writev(struct kiocb *iocb, const struct iovec *iov,
				unsigned long nr_segs, loff_t pos)
{
	ssize_t written;
	struct inode *inode;

	inode = file_inode(iocb->ki_filp);

	/*
	 * BB - optimize the way when signing is disabled. We can drop this
	 * extra memory-to-memory copying and use iovec buffers for constructing
	 * write request.
	 */

	written = cifs_iovec_write(iocb->ki_filp, iov, nr_segs, &pos);
	if (written > 0) {
		CIFS_I(inode)->invalid_mapping = true;
		iocb->ki_pos = pos;
	}

	return written;
}
"
167472,"[(184416, 16.732794060231228), (187167, 9.633965755896224), (186182, 9.27581194295624), (185585, 7.169186597727744), (186837, 7.053240112657402), (184163, 6.542158709904751), (186519, 6.242729153238925), (186602, 5.835578300758215), (186179, 5.629220325819414), (185486, 5.553921956666439), (184504, 5.444220565417011), (184895, 5.374209891365057), (184160, 5.262504333322095), (178594, 5.244601623463689), (187168, 5.1516650769879755), (186736, 4.918670487399204), (184948, 4.902765945864298), (186674, 4.72545566274305), (186767, 4.575544127391279), (186856, 4.558689814812629)]","void DataPipeConsumerDispatcher::CompleteTransitAndClose() {
  node_controller_->SetPortObserver(control_port_, nullptr);

  base::AutoLock lock(lock_);
  DCHECK(in_transit_);
  in_transit_ = false;
  transferred_ = true;
  CloseNoLock();
}
"
137087,"[(185889, 5.799613334196577), (184956, 3.310196479400519), (183589, 2.660412017879497), (178314, 2.6027101489082054), (182837, 2.284600726730751), (182900, 1.9898922947715731), (181149, 1.9449138025533477), (180597, 1.94142750345513), (182823, 1.927949993253451), (182896, 1.8389212154260297), (179074, 1.7607076210409196), (187373, 1.731025875808331), (180460, 1.6558888500688291), (181146, 1.5877957538148963), (185408, 1.5660556313604714), (180586, 1.5585750142259274), (185565, 1.4936833526919326), (187894, 1.4923560515123873), (187897, 1.4923560515123873), (183930, 1.463302824227975)]","void InputType::OnDetachWithLayoutObject() {}
"
30453,"[(179202, 36.84495921387117), (179689, 36.64516406963896), (179203, 30.37364244689971), (183480, 28.057253240107332), (179682, 24.45477854521138), (178162, 24.31841523488509), (187510, 22.42220399796241), (181171, 22.25777621747504), (179681, 21.868029042134722), (184304, 21.617573834910683), (179983, 21.542881874185834), (179207, 21.3833458778786), (179669, 21.342140122238863), (179206, 21.323511232848237), (179735, 20.73288533906405), (183066, 20.549012174585553), (179680, 20.549012174585553), (179694, 19.89166880992138), (178139, 19.806682905088387), (179200, 19.225900521306734)]","static u32 filter_connect(struct tipc_sock *tsock, struct sk_buff **buf)
{
	struct socket *sock = tsock->sk.sk_socket;
	struct tipc_msg *msg = buf_msg(*buf);
	struct sock *sk = &tsock->sk;
	u32 retval = TIPC_ERR_NO_PORT;
	int res;

	if (msg_mcast(msg))
		return retval;

	switch ((int)sock->state) {
	case SS_CONNECTED:
		/* Accept only connection-based messages sent by peer */
		if (msg_connected(msg) && tipc_port_peer_msg(tsock->p, msg)) {
			if (unlikely(msg_errcode(msg))) {
				sock->state = SS_DISCONNECTING;
				__tipc_disconnect(tsock->p);
			}
			retval = TIPC_OK;
		}
		break;
	case SS_CONNECTING:
		/* Accept only ACK or NACK message */
		if (unlikely(msg_errcode(msg))) {
			sock->state = SS_DISCONNECTING;
			sk->sk_err = -ECONNREFUSED;
			retval = TIPC_OK;
			break;
		}

		if (unlikely(!msg_connected(msg)))
			break;

		res = auto_connect(sock, msg);
		if (res) {
			sock->state = SS_DISCONNECTING;
			sk->sk_err = res;
			retval = TIPC_OK;
			break;
		}

		/* If an incoming message is an 'ACK-', it should be
		 * discarded here because it doesn't contain useful
		 * data. In addition, we should try to wake up
		 * connect() routine if sleeping.
		 */
		if (msg_data_sz(msg) == 0) {
			kfree_skb(*buf);
			*buf = NULL;
			if (waitqueue_active(sk_sleep(sk)))
				wake_up_interruptible(sk_sleep(sk));
		}
		retval = TIPC_OK;
		break;
	case SS_LISTENING:
	case SS_UNCONNECTED:
		/* Accept only SYN message */
		if (!msg_connected(msg) && !(msg_errcode(msg)))
			retval = TIPC_OK;
		break;
	case SS_DISCONNECTING:
		break;
	default:
		pr_err(""Unknown socket state %u\n"", sock->state);
	}
	return retval;
}
"
22614,"[(187177, 10.809047578529913), (185525, 9.502727968203752), (179157, 8.337219961830506), (186451, 6.785341884680585), (182897, 6.707273055397876), (180766, 6.124760293735823), (179155, 5.768448395005847), (182778, 5.413109720565827), (179623, 5.294773847226236), (180069, 4.783652529384668), (180067, 4.753859101166741), (179431, 4.717205767207905), (180902, 4.677913199984858), (179566, 4.6147022911017315), (180528, 4.545687273320001), (179149, 4.514406424659718), (179732, 4.46183842836005), (185676, 4.27970425491834), (179419, 4.269330224422371), (179969, 4.227208210381042)]","static inline struct task_group *task_group(struct task_struct *p)
{
	struct cgroup_subsys_state *css;

	css = task_subsys_state_check(p, cpu_cgroup_subsys_id,
			lockdep_is_held(&task_rq(p)->lock));
	return container_of(css, struct task_group, css);
}
"
87439,"[(181904, 22.343800498943203), (181905, 18.94226399155917), (187752, 15.80828159142898), (182628, 11.64239375993477), (178680, 11.064959357928199), (181731, 9.915092403500726), (187696, 8.116959545261814), (177822, 8.04690006090884), (182896, 7.944883804478364), (180350, 7.829202444731906), (179916, 7.809245201605794), (181759, 7.64161460863816), (182173, 7.593105415781522), (179712, 7.59129835040452), (181146, 7.504320359966905), (181791, 7.50306094072482), (181770, 7.4504097184184275), (178957, 7.390686122269702), (177736, 7.277955153913537), (187761, 7.136013323393316)]","static int addBitToStream(size_t* bitpointer, ucvector* bitstream, unsigned char bit)
{
  /*add a new byte at the end*/
  if(((*bitpointer) & 7) == 0)
  {
    if (!ucvector_push_back(bitstream, (unsigned char)0)) return 83;
  }

  /*earlier bit of huffman code is in a lesser significant bit of an earlier byte*/
  (bitstream->data[bitstream->size - 1]) |= (bit << ((*bitpointer) & 0x7));
  (*bitpointer)++;

  return 0;
}
"
96911,"[(178216, 23.17270728101702), (182991, 22.131679348275448), (178382, 21.020689676816374), (187491, 20.927491515817806), (181761, 20.18286198560862), (187490, 20.066834600285528), (178381, 19.33628716599492), (181670, 19.111975231936142), (186926, 19.04563406529785), (180097, 17.000116195546244), (179387, 15.744257733474127), (187620, 15.642860358390468), (177831, 14.818238462360558), (182799, 14.649877937179465), (181677, 14.5410844326397), (180139, 14.497033231275209), (180783, 14.063633081215638), (178685, 13.942578333171756), (180423, 13.89952574659976), (183007, 13.87499057000841)]","static int trace_set_options(struct trace_array *tr, char *option)
{
	char *cmp;
	int neg = 0;
	int ret;
	size_t orig_len = strlen(option);
	int len;

	cmp = strstrip(option);

	len = str_has_prefix(cmp, ""no"");
	if (len)
		neg = 1;

	cmp += len;

	mutex_lock(&trace_types_lock);

	ret = match_string(trace_options, -1, cmp);
	/* If no option could be set, test the specific tracer options */
	if (ret < 0)
		ret = set_tracer_option(tr, cmp, neg);
	else
		ret = set_tracer_flag(tr, 1 << ret, !neg);

	mutex_unlock(&trace_types_lock);

	/*
	 * If the first trailing whitespace is replaced with '\0' by strstrip,
	 * turn it back into a space.
	 */
	if (orig_len > strlen(option))
		option[strlen(option)] = ' ';

	return ret;
}
"
89540,"[(179474, 40.83830781175886), (182394, 39.70402531818357), (182403, 37.633042806587405), (179473, 37.586959260045965), (177870, 36.2775469110778), (180894, 34.10908849494051), (181846, 33.99658860743193), (182478, 31.90405597998816), (181588, 31.09050875488788), (177810, 30.829440057700808), (182876, 30.628929152854038), (179296, 28.62862177677697), (181424, 26.277880112464057), (181423, 25.919235323092536), (182342, 24.328361192323445), (181053, 24.257897910027516), (182220, 22.740861922432526), (181425, 22.54811396021365), (179330, 22.346029488021486), (182844, 21.49504214177781)]","static void oprintf(struct out *op, const char *fmt, ...) 	 
{
	va_list ap; 	 
	char buf[256]; 	 
	int d, l; 	 
	  	 
	va_start(ap, fmt); 	 
	l = vsprintf(buf, fmt, ap); 	 
	while((d = op->ptr - op->buf) + l >= op->len-1) 	 
	{
		op->buf = (char *) realloc(op->buf, op->len += 100); 	 
		op->ptr = op->buf + d; 	 
	} 	 
	for(d = 0 ; d < l ; d++) 	 
		*op->ptr++ = buf[d]; 	 
}
"
135794,"[(186078, 5.053035156243138), (183963, 5.017248010306803), (184447, 4.979016523114525), (184705, 4.508271950324497), (185136, 4.453758260551383), (186598, 4.334881669077857), (185743, 4.331428429951647), (186597, 4.241972797239785), (187187, 4.241478251049952), (183839, 4.211001595547232), (183596, 4.160314339800206), (186618, 4.152770987272117), (183638, 4.006309990542607), (186619, 3.9877915877625716), (184918, 3.838009638031776), (183582, 3.751030110334134), (185782, 3.636583331268302), (185172, 3.5620618237569492), (185924, 3.4981049441511805), (185513, 3.4205190916214336)]","bool SelectionController::MouseDownWasSingleClickInSelection() const {
  return mouse_down_was_single_click_in_selection_;
}
"
144168,"[(186165, 15.906063249134428), (184181, 3.790101638628974), (182837, 1.3510280458348478), (183589, 1.2853652140319705), (178314, 1.2574868347952668), (182900, 1.2326242228077227), (181149, 1.208124713618005), (182896, 1.1869716447194625), (180031, 1.1294816147779878), (182791, 1.101796282456051), (181146, 1.0978229432186504), (177767, 1.077017607397016), (183380, 1.0633203344454945), (178346, 1.0498054953702551), (180934, 1.0450963122007693), (181150, 1.0384760301606344), (182211, 1.0367249381264236), (183333, 1.025255409411517), (182832, 1.0064249173097235), (182962, 1.0028303717013836)]","void LockContentsView::AddedToWidget() {
  DoLayout();

  if (primary_big_view_)
    primary_big_view_->RequestFocus();
}
"
7085,"[(182324, 14.420436915929432), (181494, 10.622502845869477), (178023, 8.32022921308016), (177749, 7.786656652269172), (182516, 7.277120964412227), (178170, 6.730430887282382), (178173, 6.120021264580512), (178038, 6.01140581234349), (183922, 5.255133007830835), (178510, 4.697301619583365), (183008, 4.35205322365559), (178037, 4.2244184556454805), (181926, 3.492487938035698), (181887, 3.4924362606481276), (183259, 3.425433175230009), (183255, 3.425433175230009), (178512, 3.1571877569000457), (188131, 2.6544449911814816), (177807, 2.6536244060242833), (178363, 2.6424374293722517)]","  tt_cmap12_char_next( TT_CMap     cmap,
                       FT_UInt32  *pchar_code )
  {
    TT_CMap12  cmap12 = (TT_CMap12)cmap;
    FT_ULong   gindex;


    if ( cmap12->cur_charcode >= 0xFFFFFFFFUL )
      return 0;

    /* no need to search */
    if ( cmap12->valid && cmap12->cur_charcode == *pchar_code )
    {
      tt_cmap12_next( cmap12 );
      if ( cmap12->valid )
      {
        gindex = cmap12->cur_gindex;

        /* XXX: check cur_charcode overflow is expected */
        if ( gindex )
          *pchar_code = (FT_UInt32)cmap12->cur_charcode;
      }
      else
        gindex = 0;
    }
    else
      gindex = tt_cmap12_char_map_binary( cmap, pchar_code, 1 );

    /* XXX: check gindex overflow is expected */
    return (FT_UInt32)gindex;
  }
"
92817,"[(183356, 38.05340942706542), (183357, 37.159251876225326), (182404, 29.091886173338477), (187606, 24.012391082491014), (182962, 21.157783491036948), (182959, 20.693888140566084), (178885, 20.24670039311356), (181602, 20.049698820799623), (187617, 19.23005852211129), (178886, 18.59620448820751), (180678, 17.711470187844323), (187522, 17.558645266142737), (180681, 17.123353011593252), (179865, 16.420687081149115), (181423, 16.327105381477455), (180697, 16.262311621367658), (178697, 16.257287998220157), (180960, 16.075005822668786), (181425, 14.86012562541727), (180682, 14.536718728218043)]","static Bool get_time_list(char *arg, u32 *times, u32 *nb_times)
{
	char *str;
	Float var;
	Double sec;
	u32 h, m, s, ms, f, fps;
	if (!arg || (arg[0]=='-') || !isdigit(arg[0])) return 0;

	/*SMPTE time code*/
	if (strchr(arg, ':') && strchr(arg, ';') && strchr(arg, '/')) {
		if (sscanf(arg, ""%02ud:%02ud:%02ud;%02ud/%02ud"", &h, &m, &s, &f, &fps)==5) {
			sec = 0;
			if (fps) sec = ((Double)f) / fps;
			sec += 3600*h + 60*m + s;
			times[*nb_times] = (u32) (1000*sec);
			(*nb_times) ++;
			return 1;
		}
	}
	while (arg) {
		str = strchr(arg, '-');
		if (str) str[0] = 0;
		/*HH:MM:SS:MS time code*/
		if (strchr(arg, ':') && (sscanf(arg, ""%u:%u:%u:%u"", &h, &m, &s, &ms)==4)) {
			sec = ms;
			sec /= 1000;
			sec += 3600*h + 60*m + s;
			times[*nb_times] = (u32) (1000*sec);
			(*nb_times) ++;
		} else if (sscanf(arg, ""%f"", &var)==1) {
			sec = atof(arg);
			times[*nb_times] = (u32) (1000*sec);
			(*nb_times) ++;
		}
		if (!str) break;
		str[0] = '-';
		arg = str+1;
	}
	return 1;
}
"
23312,"[(182527, 25.644149791457497), (181338, 22.261172764608865), (181894, 21.221050552035262), (182907, 21.210391450154383), (178893, 20.89642541662281), (187863, 20.81328996585261), (181320, 20.054409799425954), (188456, 19.99979465958031), (182582, 19.93031686172717), (184874, 19.887179523301278), (186357, 19.57693525787234), (178173, 18.81370878783549), (178170, 18.753908511271348), (178172, 17.622200722119782), (178885, 17.563674793735036), (187373, 17.232787455721617), (187888, 17.044300179752177), (188470, 17.044300179752177), (179393, 16.56568592493586), (187846, 16.32126193165277)]","static int decode_link(struct xdr_stream *xdr, struct nfs4_change_info *cinfo)
{
	int status;

	status = decode_op_hdr(xdr, OP_LINK);
	if (status)
		return status;
	return decode_change_info(xdr, cinfo);
}
"
